序号,项目,代码,预计募集（亿）,实际募集（亿）,发行时间,二级市场价格,底价,底价折扣,发行价格,发行折扣,发行对象数量,解禁日期,解禁后收益,市场价格,解禁价格,价格不同
26.0,粤泰股份,600393.0,14.439155,14.4391549792,2016-03-25 11:30:00,9.61,5.02,0.522372528616025,7.42,0.7721123829344433,5.0,2017-03-31,2.110512129380054,8.64,15.56,True
27.0,滨江集团,2244.0,28.0,27.543206964,2016-03-10 12:00:00,7.86,6.76,0.8600508905852416,6.76,0.8600508905852416,4.0,2017-03-31,1.0433431952662722,7.86,7.02,False
28.0,华峰超纤,300180.0,15.0,10.36,2016-03-08 17:00:00,15.6,11.83,0.7583333333333333,12.95,0.8301282051282051,5.0,2017-04-05,2.01003861003861,15.6,26.0,False
29.0,金轮股份,2722.0,3.8955,3.8954999525,2016-02-26 17:00:00,30.98,22.48,0.7256294383473209,24.05,0.776307295029051,3.0,2017-04-06,1.648232848232848,30.98,39.55,False
30.0,众业达,2441.0,10.112243,10.1122429789,2016-03-15 12:00:00,14.56,11.61,0.7973901098901098,13.21,0.9072802197802198,5.0,2017-04-07,0.9931869795609386,14.56,13.01,False
31.0,初灵信息,300250.0,2.5,2.4999996686,2016-03-16 12:00:00,44.67,39.77,0.8903066935303336,41.29,0.9243340049250055,4.0,2017-04-07,1.1681411368583383,44.67,24.08,False
32.0,良信电器,2706.0,5.166,5.099999256,2016-03-15 12:00:00,41.72,35.97,0.862176414189837,35.97,0.862176414189837,9.0,2017-04-10,1.448985265499027,41.72,25.81,False
33.0,赢时胜,300377.0,29.2,29.2,2016-03-14 12:00:00,58.3,50.8,0.8713550600343053,56.88,0.9756432246998286,5.0,2016-04-08,2.9465541490857947,58.3,83.65,False
34.0,顺网科技,300113.0,3.71,3.7099997385,2016-03-08 12:00:00,77.64,72.56,0.93456980937661,72.57,0.9346986089644512,2.0,2017-05-26,0.8254855105415462,77.64,26.38,False
35.0,雅戈尔,600177.0,50.0,49.9999998888,2016-04-01 16:00:00,15.04,15.08,1.002659574468085,15.08,1.002659574468085,1.0,2017-04-13,0.9761273209549072,15.04,13.92,False
36.0,罗牛山,735.0,16.5,16.4999999424,2016-03-17 15:00:00,6.7,6.06,0.9044776119402984,6.08,0.9074626865671641,6.0,2017-04-13,1.1019736842105263,6.73,6.7,True
37.0,拓邦股份,2139.0,5.975,5.974999877,2016-03-23 16:00:00,18.46,15.2,0.8234019501625135,16.66,0.9024918743228602,7.0,2017-04-14,1.201080432172869,18.46,13.24,False
38.0,分众传媒,2027.0,50.0,49.999999896,2016-03-18 12:00:00,30.36,11.38,0.37483530961791833,19.8,0.6521739130434783,7.0,2017-04-17,1.1641414141414141,30.36,11.4,False
39.0,上海新阳,300236.0,3.0,2.9999999312,2016-03-15 12:00:00,28.0,24.03,0.8582142857142857,27.98,0.9992857142857143,2.0,2016-04-19,1.2780557541100785,28.0,35.76,False
