序号,项目,代码,预计募集（亿）,实际募集（亿）,发行时间,二级市场价格,底价,底价折扣,发行价,发行折扣,发行对象数量,解禁日期,解禁后收益,市场价格,解禁价格,价格不同
235.0,海伦钢琴,300329.SZ,2.155799852,2.155799852,2015-12-21 12:00:00,25.9,21.29,0.822007722007722,21.29,0.822007722007722,5.0,2017-01-12 00:00:00,0.7465476749647721,25.9,15.87,False
236.0,合康新能,300048.SZ,3.88,3.879999916,2015-12-15 12:00:00,19.1,15.65,0.819371727748691,15.86,0.8303664921465967,4.0,2017-01-13 00:00:00,1.0460277427490543,19.1,8.27,False
237.0,迪森股份,300335.SZ,7.5,7.499999847,2015-12-22 12:00:00,16.61,14.96,0.9006622516556292,16.3,0.9813365442504516,5.0,2017-01-16 00:00:00,1.0248490429447852,16.61,16.68,False
238.0,东方能源,000958.SZ,13.0,12.9999993347,2015-12-24 11:30:00,24.51,12.72,0.5189718482252141,19.19,0.7829457364341085,6.0,2017-01-06 00:00:00,0.7696717040125064,24.51,14.77,False
239.0,华域汽车,600741.SH,89.7,89.6999999175,2015-12-29 12:00:00,17.09,15.65,0.9157401989467525,15.75,0.9215915740198947,8.0,2017-01-16 00:00:00,1.0520634920634921,17.09,15.76,False
240.0,深天马A,000050.SZ,48.0,47.9999999358,2015-12-22 12:00:00,22.27,17.82,0.8001796138302649,17.82,0.8001796138302649,7.0,2017-01-17 00:00:00,1.1649831649831648,22.27,18.82,False
241.0,飞亚达,000026.SZ,6.0,5.9999999355,2015-12-15 12:00:00,16.09,12.79,0.7949036668738346,13.05,0.8110627719080175,5.0,2017-01-16 00:00:00,1.0153256704980842,16.09,13.15,False
242.0,凤凰股份,600716.SH,15.15,15.1286005944,2015-12-25 12:00:00,10.69,7.74,0.7240411599625819,7.74,0.7240411599625819,7.0,2017-01-19 00:00:00,0.8888888888888888,10.69,6.88,False
,,600716.SH,,,2016-01-05 12:00:00,10.45,7.74,0.7406698564593303,7.74,0.7406698564593303,,2017-01-19 00:00:00,,10.45,6.88,False
243.0,克明面业,002661.SZ,12.0,11.9999997,2015-12-28 12:00:00,55.26,30.4,0.5501266739051756,45.0,0.8143322475570033,9.0,2017-01-19 00:00:00,1.0297777777777777,55.26,15.28,False
244.0,山西证券,002500.SZ,40.0,38.781,2015-12-18 12:00:00,16.44,9.4,0.5717761557177615,12.51,0.760948905109489,6.0,2017-01-20 00:00:00,0.894484412470024,16.44,10.99,False
245.0,福星股份,000926.SZ,30.0,29.9999999184,2015-12-25 12:00:00,16.85,10.33,0.6130563798219584,12.66,0.7513353115727003,9.0,2017-01-23 00:00:00,0.962085308056872,16.85,11.93,False
246.0,荣盛石化,002493.SZ,40.0,40.0,2015-12-28 12:00:00,15.47,8.64,0.5585003232062056,12.5,0.8080155138978669,6.0,2017-01-25 00:00:00,1.1988,15.47,14.96,False
247.0,掌趣科技,300315.SZ,15.0,14.9999999859,2015-12-30 12:00:00,14.22,12.74,0.8959212376933896,12.99,0.9135021097046413,5.0,2017-07-03 00:00:00,0.6256351039260969,14.22,8.11,False
248.0,美锦能源,000723.SZ,24.72,24.72,2015-12-18 15:00:00,12.22,4.1,0.3355155482815057,7.68,0.6284779050736496,6.0,2017-02-17 00:00:00,1.5924479166666667,12.21,12.23,True
249.0,神州高铁,000008.SZ,22.0495,22.04949997,2015-12-18 11:30:00,12.58,6.45,0.5127186009538951,8.5,0.6756756756756757,6.0,2017-02-06 00:00:00,1.0164705882352942,12.55,8.64,True
250.0,西水股份,600291.SH,69.0721682334,69.072168044,2015-12-23 12:00:00,30.41,20.31,0.6678724103913186,24.2,0.7957908582703058,6.0,2017-02-06 00:00:00,0.6913636363636363,30.41,16.7,False
251.0,雷曼光电,300162.SZ,1.6,1.599948,2015-11-27 12:00:00,23.86,24.07,1.0088013411567478,25.2,1.0561609388097233,3.0,2016-03-07 00:00:00,0.7658730158730159,23.86,19.3,False
